First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Christopher,Berry,Buy,4,UTEP Football 4,3,VIP
Kylie,King,Buy,19,UTEP Basketball 6,2,General Admission
Jerry,Hampton,Buy,14,UTEP Basketball 1,3,Bronze
Jared,Scott,Buy,29,UTEP Basketball 16,6,Bronze
Christopher,Ortega,Buy,58,Drake Live,2,General Admission
Anthony,Adams,Buy,22,UTEP Basketball 9,6,VIP
Bobby,Gonzales,Buy,16,UTEP Basketball 3,5,VIP
Laura,Smith,Buy,12,UTEP Football 12,6,Silver
Daniel,Romero,Buy,69,UTEP Commencement 1,3,Bronze
Isabella,Garcia,Buy,27,UTEP Basketball 14,3,Gold
Michael,White,Buy,10,UTEP Football 10,5,VIP
Teresa,Taylor,Buy,7,UTEP Football 7,5,Bronze
James,King,Buy,52,UTEP Wind Symphony 8,4,Silver
Elizabeth,Kim,Buy,47,UTEP Wind Symphony 3,4,Bronze
Andre,Ramos,Buy,34,UTEP Basketball 21,2,General Admission
Keith,Christensen,Buy,36,UTEP Basketball 23,3,General Admission
Kayla,Morgan,Buy,45,UTEP Wind Symphony 1,2,Gold
Robert,Davis,Buy,12,UTEP Football 12,3,VIP
Matthew,Porter,Buy,20,UTEP Basketball 7,6,VIP
Anthony,Moore,Buy,68,Minerpalooza,4,Silver
Derek,Macias,Buy,36,UTEP Basketball 23,6,VIP
Jennifer,Huang,Buy,42,UTEP Basketball 29,3,Silver
Joshua,Meadows,Buy,6,UTEP Football 6,3,General Admission
Derek,Macias,Buy,53,UTEP Wind Symphony 9,5,Silver
Derek,Macias,Buy,38,UTEP Basketball 25,3,VIP
Steven,Owens,Buy,5,UTEP Football 5,2,VIP
Susan,Garcia,Buy,42,UTEP Basketball 29,6,VIP
Roger,Casey,Buy,39,UTEP Basketball 26,5,General Admission
David,Brown,Buy,41,UTEP Basketball 28,4,General Admission
Kaylee,Hale,Buy,12,UTEP Football 12,3,Silver
William,Staker,Buy,24,UTEP Basketball 11,5,Gold
Sebastian,Mercado,Buy,57,Taylor Swift Live,2,VIP
Gregory,Maxwell,Buy,5,UTEP Football 5,6,Bronze
Jessica,Olsen,Buy,58,Drake Live,2,Bronze
John,White,Buy,54,UTEP Wind Symphony 10,3,VIP
Courtney,Tran,Buy,39,UTEP Basketball 26,6,VIP
Ronald,Parker,Buy,16,UTEP Basketball 3,4,Gold
Amber,Brown,Buy,19,UTEP Basketball 6,2,VIP
Michael,Clarke,Buy,14,UTEP Basketball 1,3,Silver
Robin,Wilson,Buy,63,Shakira Live,5,Silver
Casey,Navarro,Buy,35,UTEP Basketball 22,6,Gold
Dakota,Harper,Buy,67,ACL,4,Silver
Crystal,Young,Buy,35,UTEP Basketball 22,5,General Admission
Michelle,Ray,Buy,29,UTEP Basketball 16,5,Gold
Tami,Weaver,Buy,24,UTEP Basketball 11,3,Bronze
Haley,Moss,Buy,34,UTEP Basketball 21,3,General Admission
Chris,Holden,Buy,42,UTEP Basketball 29,4,Bronze
Ashley,Romero,Buy,46,UTEP Wind Symphony 2,2,Bronze
Alyssa,Kelly,Buy,28,UTEP Basketball 15,5,Bronze
Justin,Davis,Buy,55,UTEP Wind Symphony 11,2,General Admission
Timothy,Wagner,Buy,17,UTEP Basketball 4,4,Silver
David,Mills,Buy,58,Drake Live,4,Silver
Courtney,Olsen,Buy,50,UTEP Wind Symphony 6,3,Gold
Kenneth,Davis,Buy,23,UTEP Basketball 10,6,Silver
William,Rice,Buy,57,Taylor Swift Live,6,Bronze
Jacqueline,Dunn,Buy,15,UTEP Basketball 2,5,VIP
Melissa,Johnson,Buy,52,UTEP Wind Symphony 8,2,VIP
Mark,Lozano,Buy,43,UTEP Basketball 30,6,VIP
Loretta,Phillips,Buy,55,UTEP Wind Symphony 11,5,Bronze
Christina,Jones,Buy,15,UTEP Basketball 2,2,Silver
Heather,Cunningham,Buy,32,UTEP Basketball 19,3,Bronze
Heather,Robbins,Buy,63,Shakira Live,4,General Admission
Gaston,Disney,Buy,70,UTEP Commencement 2,2,General Admission
Ana,Andrade,Buy,8,UTEP Football 8,2,General Admission
Miranda,Mason,Buy,56,UTEP Wind Symphony 12,4,VIP
Ashley,Wilcox,Buy,68,Minerpalooza,5,VIP
Jose,Farley,Buy,36,UTEP Basketball 23,5,General Admission
Dylan,Harris,Buy,13,UTEP Football 13,4,General Admission
Nicholas,Anderson,Buy,45,UTEP Wind Symphony 1,4,Gold
Tammy,Martinez,Buy,11,UTEP Football 11,6,VIP
Robert,Flores,Buy,6,UTEP Football 6,5,VIP
Howard,Davenport,Buy,59,Bad Bunny Live,5,VIP
Marissa,Oconnell,Buy,31,UTEP Basketball 18,3,Gold
John,Sanders,Buy,10,UTEP Football 10,3,General Admission
Matthew,Mason,Buy,49,UTEP Wind Symphony 5,5,Bronze
Tammy,Thomas,Buy,57,Taylor Swift Live,4,Bronze
Michael,Nunez,Buy,53,UTEP Wind Symphony 9,6,Bronze
Hercules,Disney,Buy,20,UTEP Basketball 7,5,Bronze
Mary,Stevens,Buy,4,UTEP Football 4,3,Gold
Pluto,Disney,Buy,61,RBD Live,4,Gold
Carrie,Bennett,Buy,20,UTEP Basketball 7,5,General Admission
Lauren,Hall,Buy,45,UTEP Wind Symphony 1,5,Bronze
Lauren,Coleman,Buy,44,UTEP Basketball 31,5,Silver
Barbara,Lane,Buy,29,UTEP Basketball 16,2,General Admission
Jody,Sanchez,Buy,29,UTEP Basketball 16,6,Bronze
Christopher,Coleman,Buy,12,UTEP Football 12,5,General Admission
Angelica,Bruce,Buy,60,Karol G Live,3,Gold
Victoria,Ellis,Buy,37,UTEP Basketball 24,3,VIP
Justin,Wilson,Buy,16,UTEP Basketball 3,2,VIP
Jorge,Garcia,Buy,63,Shakira Live,4,Bronze
Martin,Vallecillo,Buy,57,Taylor Swift Live,2,Gold
Daniel,Mejia,Buy,37,UTEP Basketball 24,6,General Admission
Michael,Sanchez,Buy,33,UTEP Basketball 20,5,Silver
Jessica,Fernandez,Buy,45,UTEP Wind Symphony 1,3,Bronze
James,Morgan,Buy,13,UTEP Football 13,6,Bronze
Captaiin,Hook,Buy,18,UTEP Basketball 5,4,Gold
Douglas,Hernandez,Buy,31,UTEP Basketball 18,3,Bronze
Jose,Farley,Buy,37,UTEP Basketball 24,3,General Admission
Joel,Arellano,Buy,53,UTEP Wind Symphony 9,4,General Admission
Deborah,Hunt,Buy,29,UTEP Basketball 16,4,Silver
Natalia,MestaValenzuela,Buy,33,UTEP Basketball 20,6,Bronze
Christine,Ellis,Buy,38,UTEP Basketball 25,6,General Admission
Kimberly,Kocian,Buy,42,UTEP Basketball 29,6,Silver
Lisa,Peters,Buy,2,UTEP Football 2,2,Gold
Craig,Schaefer,Buy,34,UTEP Basketball 21,5,Bronze
Rodney,Mcneil,Buy,47,UTEP Wind Symphony 3,2,Gold
Samantha,Cooper,Buy,39,UTEP Basketball 26,2,Bronze
Catherine,Mann,Buy,56,UTEP Wind Symphony 12,4,VIP
Philip,Zamora,Buy,67,ACL,2,General Admission
Jeffrey,Sloan,Buy,24,UTEP Basketball 11,6,Silver
Kathryn,Perez,Buy,9,UTEP Football 9,3,Bronze
Dustin,Oliver,Buy,50,UTEP Wind Symphony 6,4,VIP
Tami,Alexander,Buy,69,UTEP Commencement 1,2,VIP
Joshua,Gomez,Buy,55,UTEP Wind Symphony 11,5,Bronze
Anthony,Adams,Buy,60,Karol G Live,3,Silver
Daniel,Hampton,Buy,21,UTEP Basketball 8,2,Bronze
Alexis,Ford,Buy,30,UTEP Basketball 17,2,VIP
Jose,Farley,Buy,64,Justin Timberlake Live,5,Gold
Cody,Scott,Buy,13,UTEP Football 13,3,VIP
